,Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
127,Event: Mercury/Neruda (Caches),Event: Mercury/Neruda (Caches)
128,Rotation A,Rotation A
129,"2,500 Credits Cache",Very Common (100.00%)
130,Rotation B,Rotation B
131,400 Endo,Uncommon (12.65%)
132,400 Endo,Uncommon (12.65%)
133,400 Endo,Uncommon (12.65%)
134,400 Endo,Uncommon (22.11%)
135,400 Endo,Ultra Rare (1.01%)
136,400 Endo,Ultra Rare (1.01%)
137,240X Polymer Bundle,Uncommon (12.65%)
138,750X Circuits,Uncommon (12.65%)
139,750X Alloy Plate,Uncommon (12.65%)
140,Rotation C,Rotation C
141,80 Endo,Uncommon (15.10%)
142,150 Endo,Uncommon (15.10%)
143,Morphics,Uncommon (15.10%)
144,Gallium,Uncommon (15.10%)
145,Neurodes,Uncommon (15.10%)
146,2X Morphics,Rare (5.50%)
147,2X Gallium,Rare (5.50%)
148,2X Neurodes,Rare (5.50%)
149,160 Endo,Rare (5.50%)
150,Argon Crystal,Legendary (0.67%)
151,Tellurium,Legendary (0.67%)
152,Nitain Extract,Legendary (0.67%)
153,Xiphos Fuselage Blueprint,Legendary (0.50%)
154,,
155,Event: Mercury/Caduceus (Exterminate),Event: Mercury/Caduceus (Exterminate)
156,Morphic Transformer,Rare (5.64%)
157,Automatic Trigger,Common (38.72%)
158,Phaedra Receiver,Rare (5.64%)
159,Extend,Common (38.72%)
160,Shell Rush,Rare (5.64%)
161,Shell Rush,Rare (5.64%)
162,,
163,Mercury/Odin (Interception),Mercury/Odin (Interception)
164,Rotation A,Rotation A
165,Vitality,Uncommon (10.00%)
166,Magazine Warp,Uncommon (10.00%)
167,Trick Mag,Uncommon (10.00%)
168,Lith G6 Relic,Uncommon (10.00%)
169,Lith H8 Relic,Uncommon (10.00%)
170,Lith S15 Relic,Uncommon (10.00%)
171,Lith S14 Relic,Uncommon (10.00%)
172,Lith B11 Relic,Uncommon (10.00%)
173,Lith K10 Relic,Uncommon (10.00%)
174,Lith R3 Relic,Uncommon (10.00%)
175,Rotation B,Rotation B
176,Speed Trigger,Rare (5.88%)
177,Fast Deflection,Rare (5.88%)
178,Rush,Rare (5.88%)
179,Target Cracker,Rare (5.88%)
180,No Return,Rare (5.88%)
181,Serration,Rare (5.88%)
182,Hornet Strike,Rare (5.88%)
183,Reflex Coil,Rare (5.88%)
184,Deep Freeze,Rare (5.88%)
185,North Wind,Rare (5.88%)
186,Meso P11 Relic,Rare (5.88%)
187,Meso H4 Relic,Rare (5.88%)
188,Meso N14 Relic,Rare (5.88%)
189,Meso P10 Relic,Rare (5.88%)
190,Meso D7 Relic,Rare (5.88%)
191,Meso K4 Relic,Rare (5.88%)
192,Meso S12 Relic,Rare (5.88%)
193,Rotation C,Rotation C
194,Natural Talent,Rare (2.58%)
195,Meso P11 Relic,Uncommon (13.92%)
196,Meso H4 Relic,Uncommon (13.92%)
197,Meso N14 Relic,Uncommon (13.92%)
198,Meso P10 Relic,Uncommon (13.92%)
199,Meso D7 Relic,Uncommon (13.92%)
200,Meso K4 Relic,Uncommon (13.92%)
201,Meso S12 Relic,Uncommon (13.92%)
202,,
203,Mercury/Suisei (Spy),Mercury/Suisei (Spy)
204,Rotation A,Rotation A
205,"1,500 Credits Cache",Uncommon (14.29%)
206,"1,500 Credits Cache",Uncommon (14.29%)
207,100 Endo,Uncommon (14.29%)
208,100 Endo,Uncommon (14.29%)
209,Reflection,Uncommon (14.29%)
210,Reflex Guard,Uncommon (14.29%)
211,Parry,Uncommon (14.29%)
212,Rotation B,Rotation B
213,Lith G6 Relic,Uncommon (14.29%)
214,Lith H8 Relic,Uncommon (14.29%)
215,Lith S15 Relic,Uncommon (14.29%)
216,Lith S14 Relic,Uncommon (14.29%)
217,Lith B11 Relic,Uncommon (14.29%)
218,Lith K10 Relic,Uncommon (14.29%)
219,Lith R3 Relic,Uncommon (14.29%)
220,Rotation C,Rotation C
221,Master Key,Uncommon (10.00%)
222,Reflection,Uncommon (10.00%)
223,Parry,Uncommon (10.00%)
224,Heavy Impact,Uncommon (10.00%)
225,Serration,Uncommon (10.00%)
226,Hornet Strike,Uncommon (10.00%)
227,Metal Auger,Uncommon (10.00%)
228,Volcanic Edge,Uncommon (10.00%)
229,Vicious Frost,Uncommon (10.00%)
230,Ivara Systems Blueprint,Uncommon (10.00%)
231,,
232,Venus/Bifrost Echo (Skirmish),Venus/Bifrost Echo (Skirmish)
233,100 Endo,Uncommon (12.20%)
234,150 Endo,Rare (7.32%)
235,Lavan Engines Mk I,Rare (7.32%)
236,Lavan Reactor Mk I,Rare (7.32%)
237,Lavan Shield Array Mk I,Rare (7.32%)
238,Lavan Plating Mk I,Rare (7.32%)
239,Vidar Engines Mk I,Rare (7.32%)
240,Vidar Reactor Mk I,Rare (7.32%)
241,Vidar Shield Array Mk I,Rare (7.32%)
242,Vidar Plating Mk I,Rare (7.32%)
243,Ash Systems Blueprint,Rare (4.88%)
244,Lith G6 Relic,Rare (2.44%)
245,Lith H8 Relic,Rare (2.44%)
246,Meso H4 Relic,Rare (2.44%)
247,Lith S14 Relic,Rare (2.44%)
248,Meso N14 Relic,Rare (2.44%)
249,Meso D7 Relic,Rare (2.44%)
250,Meso S12 Relic,Rare (2.44%)
251,,
252,Venus/Bifrost Echo (Skirmish) Extra,Venus/Bifrost Echo (Skirmish) Extra
253,200X Cubic Diodes,Uncommon (28.57%)
254,200X Titanium,Uncommon (28.57%)
255,5X Isos,Uncommon (14.29%)
256,5X Asterite,Uncommon (14.29%)
257,Aucrux Capacitors,Rare (7.14%)
258,Nullstones,Rare (7.14%)
259,,
260,Venus/Bifrost Echo (Caches),Venus/Bifrost Echo (Caches)
261,Rotation A,Rotation A
262,100 Endo,Uncommon (26.09%)
263,150 Endo,Uncommon (17.39%)
264,Tether,Rare (8.70%)
265,Particle Ram,Rare (8.70%)
266,Shatter Burst,Rare (8.70%)
267,Lith G6 Relic,Rare (4.35%)
268,Lith H8 Relic,Rare (4.35%)
269,Lith S15 Relic,Rare (4.35%)
270,Lith S14 Relic,Rare (4.35%)
271,Lith B11 Relic,Rare (4.35%)
272,Lith K10 Relic,Rare (4.35%)
273,Lith R3 Relic,Rare (4.35%)
274,Rotation B,Rotation B
275,100 Endo,Uncommon (19.35%)
276,150 Endo,Uncommon (12.90%)
277,Internal Bleeding,Rare (9.68%)
278,Hemorrhage,Rare (9.68%)
279,Votive Onslaught,Rare (9.68%)
280,Lith C7 Relic,Rare (9.68%)
281,Meso N11 Relic,Rare (9.68%)
282,Athodai Blueprint,Rare (6.45%)
283,Athodai Barrel,Rare (6.45%)
284,Athodai Receiver,Rare (6.45%)
285,,
286,Venus/Beacon Shield Ring (Skirmish),Venus/Beacon Shield Ring (Skirmish)
287,100 Endo,Uncommon (12.20%)
288,150 Endo,Rare (7.32%)
289,Lavan Engines Mk I,Rare (7.32%)
290,Lavan Reactor Mk I,Rare (7.32%)
291,Lavan Shield Array Mk I,Rare (7.32%)
292,Lavan Plating Mk I,Rare (7.32%)
293,Vidar Engines Mk I,Rare (7.32%)
294,Vidar Reactor Mk I,Rare (7.32%)
295,Vidar Shield Array Mk I,Rare (7.32%)
296,Vidar Plating Mk I,Rare (7.32%)
297,Ash Systems Blueprint,Rare (4.88%)
298,Lith G6 Relic,Rare (2.44%)
299,Lith H8 Relic,Rare (2.44%)
300,Lith S15 Relic,Rare (2.44%)
301,Lith S14 Relic,Rare (2.44%)
302,Lith B11 Relic,Rare (2.44%)
303,Lith K10 Relic,Rare (2.44%)
304,Lith R3 Relic,Rare (2.44%)
305,,
306,Venus/Beacon Shield Ring (Skirmish) Extra,Venus/Beacon Shield Ring (Skirmish) Extra
307,200X Cubic Diodes,Uncommon (28.57%)
308,200X Titanium,Uncommon (28.57%)
309,5X Isos,Uncommon (14.29%)
310,5X Asterite,Uncommon (14.29%)
311,Aucrux Capacitors,Rare (7.14%)
312,Nullstones,Rare (7.14%)
313,,
314,Venus/Beacon Shield Ring (Caches),Venus/Beacon Shield Ring (Caches)
315,Rotation A,Rotation A
316,100 Endo,Uncommon (26.09%)
317,150 Endo,Uncommon (17.39%)
318,Tether,Rare (8.70%)
319,Particle Ram,Rare (8.70%)
320,Shatter Burst,Rare (8.70%)
321,Lith G6 Relic,Rare (4.35%)
322,Lith H8 Relic,Rare (4.35%)
323,Lith S15 Relic,Rare (4.35%)
324,Lith S14 Relic,Rare (4.35%)
325,Lith B11 Relic,Rare (4.35%)
326,Lith K10 Relic,Rare (4.35%)
327,Lith R3 Relic,Rare (4.35%)
328,Rotation B,Rotation B
329,100 Endo,Uncommon (19.35%)
330,150 Endo,Uncommon (12.90%)
331,Internal Bleeding,Rare (9.68%)
332,Hemorrhage,Rare (9.68%)
333,Votive Onslaught,Rare (9.68%)
334,Lith C7 Relic,Rare (9.68%)
335,Meso N11 Relic,Rare (9.68%)
336,Athodai Blueprint,Rare (6.45%)
337,Athodai Barrel,Rare (6.45%)
338,Athodai Receiver,Rare (6.45%)
339,,
340,Venus/Orvin-Haarc (Skirmish),Venus/Orvin-Haarc (Skirmish)
341,Rotation A,Rotation A
342,100 Endo,Uncommon (30.00%)
343,150 Endo,Uncommon (16.67%)
344,Swift Mercy,Uncommon (16.67%)
345,Power Drain,Uncommon (10.00%)
346,Firewall,Uncommon (10.00%)
347,Malicious Code,Rare (6.67%)
348,Hard Reset,Rare (6.67%)
349,Riven Sliver,Rare (3.33%)
350,Rotation B,Rotation B
351,400 Endo,Uncommon (30.00%)
352,Lith G6 Relic,Uncommon (10.00%)
353,Lith H8 Relic,Uncommon (10.00%)
354,Lith S15 Relic,Uncommon (10.00%)
355,Lith S14 Relic,Uncommon (10.00%)
356,Lith B11 Relic,Uncommon (10.00%)
357,Lith K10 Relic,Uncommon (10.00%)
358,Lith R3 Relic,Uncommon (10.00%)
359,Rotation C,Rotation C
360,600 Endo,Uncommon (24.00%)
361,Ivara Systems Blueprint,Uncommon (12.00%)
362,Lavan Engines Mk I,Rare (8.00%)
363,Lavan Reactor Mk I,Rare (8.00%)
364,Lavan Shield Array Mk I,Rare (8.00%)
365,Lavan Plating Mk I,Rare (8.00%)
366,Vidar Engines Mk I,Rare (8.00%)
367,Vidar Reactor Mk I,Rare (8.00%)
368,Vidar Shield Array Mk I,Rare (8.00%)
369,Vidar Plating Mk I,Rare (8.00%)
370,,
371,Venus/Orvin-Haarc (Skirmish) Extra,Venus/Orvin-Haarc (Skirmish) Extra
372,200X Cubic Diodes,Uncommon (28.57%)
373,200X Titanium,Uncommon (28.57%)
374,5X Isos,Uncommon (14.29%)
375,5X Asterite,Uncommon (14.29%)
376,Aucrux Capacitors,Rare (7.14%)
377,Nullstones,Rare (7.14%)
378,,
379,Venus/Orvin-Haarc (Caches),Venus/Orvin-Haarc (Caches)
380,Rotation A,Rotation A
381,100 Endo,Uncommon (26.09%)
382,150 Endo,Uncommon (17.39%)
383,Tether,Rare (8.70%)
384,Particle Ram,Rare (8.70%)
385,Shatter Burst,Rare (8.70%)
386,Lith G6 Relic,Rare (4.35%)
387,Lith H8 Relic,Rare (4.35%)
388,Lith S15 Relic,Rare (4.35%)
389,Lith S14 Relic,Rare (4.35%)
390,Lith B11 Relic,Rare (4.35%)
391,Lith K10 Relic,Rare (4.35%)
392,Lith R3 Relic,Rare (4.35%)
393,Rotation B,Rotation B
394,100 Endo,Uncommon (19.35%)
395,150 Endo,Uncommon (12.90%)
396,Internal Bleeding,Rare (9.68%)
397,Hemorrhage,Rare (9.68%)
398,Votive Onslaught,Rare (9.68%)
399,Lith C7 Relic,Rare (9.68%)
400,Meso N11 Relic,Rare (9.68%)
401,Athodai Blueprint,Rare (6.45%)
402,Athodai Barrel,Rare (6.45%)
403,Athodai Receiver,Rare (6.45%)
404,,
405,Venus/Vesper Strait (Skirmish),Venus/Vesper Strait (Skirmish)
406,Rotation A,Rotation A
407,100 Endo,Uncommon (28.57%)
408,Lavan Engines Mk I,Uncommon (14.29%)
409,Lavan Reactor Mk I,Uncommon (14.29%)
410,Lavan Shield Array Mk I,Uncommon (14.29%)
411,Lavan Plating Mk I,Uncommon (14.29%)
412,Lith G6 Relic,Rare (4.76%)
413,Lith H8 Relic,Rare (4.76%)
414,Lith S15 Relic,Rare (4.76%)
415,Rotation B,Rotation B
416,150 Endo,Uncommon (27.27%)
417,Vidar Engines Mk I,Uncommon (13.64%)
418,Vidar Reactor Mk I,Uncommon (13.64%)
419,Vidar Shield Array Mk I,Uncommon (13.64%)
420,Vidar Plating Mk I,Uncommon (13.64%)
421,Lith S14 Relic,Rare (4.55%)
422,Lith B11 Relic,Rare (4.55%)
423,Lith K10 Relic,Rare (4.55%)
424,Lith R3 Relic,Rare (4.55%)
425,Rotation C,Rotation C
426,Arcane Tempo,Uncommon (10.34%)
427,Arcane Consequence,Uncommon (10.34%)
428,Arcane Momentum,Uncommon (10.34%)
429,Arcane Ice,Uncommon (10.34%)
430,Arcane Nullifier,Uncommon (10.34%)
431,Arcane Warmth,Uncommon (10.34%)
432,Arcane Resistance,Rare (6.90%)
433,Arcane Victory,Rare (6.90%)
434,Arcane Strike,Rare (6.90%)
435,Arcane Acceleration,Rare (6.90%)
436,Arcane Aegis,Rare (3.45%)
437,Arcane Precision,Rare (3.45%)
438,Arcane Pulse,Rare (3.45%)
439,,
440,Venus/Vesper Strait (Skirmish) Extra,Venus/Vesper Strait (Skirmish) Extra
441,200X Cubic Diodes,Uncommon (28.57%)
442,200X Titanium,Uncommon (28.57%)
443,5X Isos,Uncommon (14.29%)
444,5X Asterite,Uncommon (14.29%)
445,Aucrux Capacitors,Rare (7.14%)
446,Nullstones,Rare (7.14%)
447,,
448,Venus/Vesper Strait (Caches),Venus/Vesper Strait (Caches)
449,Rotation A,Rotation A
450,100 Endo,Uncommon (26.09%)
451,150 Endo,Uncommon (17.39%)
452,Tether,Rare (8.70%)
453,Particle Ram,Rare (8.70%)
454,Shatter Burst,Rare (8.70%)
455,Lith G6 Relic,Rare (4.35%)
456,Lith H8 Relic,Rare (4.35%)
457,Lith S15 Relic,Rare (4.35%)
458,Lith S14 Relic,Rare (4.35%)
459,Lith B11 Relic,Rare (4.35%)
460,Lith K10 Relic,Rare (4.35%)
461,Lith R3 Relic,Rare (4.35%)
462,Rotation B,Rotation B
463,100 Endo,Uncommon (19.35%)
464,150 Endo,Uncommon (12.90%)
465,Internal Bleeding,Rare (9.68%)
466,Hemorrhage,Rare (9.68%)
467,Votive Onslaught,Rare (9.68%)
468,Lith C7 Relic,Rare (9.68%)
469,Meso N11 Relic,Rare (9.68%)
470,Athodai Blueprint,Rare (6.45%)
471,Athodai Barrel,Rare (6.45%)
472,Athodai Receiver,Rare (6.45%)
473,,
474,Venus/Luckless Expanse (Skirmish),Venus/Luckless Expanse (Skirmish)
475,Rotation A,Rotation A
476,100 Endo,Uncommon (26.67%)
477,Lavan Engines Mk I,Uncommon (20.00%)
478,Lavan Reactor Mk I,Uncommon (20.00%)
479,Ash Systems Blueprint,Uncommon (13.33%)
480,Lith G6 Relic,Rare (6.67%)
481,Lith H8 Relic,Rare (6.67%)
482,Lith S15 Relic,Rare (6.67%)
483,Rotation B,Rotation B
484,100 Endo,Common (35.29%)
485,Lavan Shield Array Mk I,Uncommon (17.65%)
486,Vidar Engines Mk I,Uncommon (17.65%)
487,Lavan Plating Mk I,Uncommon (17.65%)
488,Lith S14 Relic,Rare (5.88%)
489,Lith B11 Relic,Rare (5.88%)
490,Rotation C,Rotation C
491,150 Endo,Common (37.50%)
492,Vidar Reactor Mk I,Uncommon (12.50%)
493,Vidar Shield Array Mk I,Uncommon (12.50%)
494,Vidar Plating Mk I,Uncommon (12.50%)
495,Ambassador Blueprint,Uncommon (12.50%)
496,Lith K10 Relic,Rare (6.25%)
497,Lith R3 Relic,Rare (6.25%)
498,,
499,Venus/Luckless Expanse (Skirmish) Extra,Venus/Luckless Expanse (Skirmish) Extra
500,200X Cubic Diodes,Uncommon (28.57%)
501,200X Titanium,Uncommon (28.57%)
502,5X Isos,Uncommon (14.29%)
503,5X Asterite,Uncommon (14.29%)
504,Aucrux Capacitors,Rare (7.14%)
505,Nullstones,Rare (7.14%)
506,,
507,Venus/Luckless Expanse (Caches),Venus/Luckless Expanse (Caches)
508,Rotation A,Rotation A
509,100 Endo,Uncommon (26.09%)
510,150 Endo,Uncommon (17.39%)
511,Tether,Rare (8.70%)
512,Particle Ram,Rare (8.70%)
513,Shatter Burst,Rare (8.70%)
514,Lith G6 Relic,Rare (4.35%)
515,Lith H8 Relic,Rare (4.35%)
516,Lith S15 Relic,Rare (4.35%)
517,Lith S14 Relic,Rare (4.35%)
518,Lith B11 Relic,Rare (4.35%)
519,Lith K10 Relic,Rare (4.35%)
520,Lith R3 Relic,Rare (4.35%)
521,Rotation B,Rotation B
522,100 Endo,Uncommon (19.35%)
523,150 Endo,Uncommon (12.90%)
524,Internal Bleeding,Rare (9.68%)
525,Hemorrhage,Rare (9.68%)
526,Votive Onslaught,Rare (9.68%)
527,Lith C7 Relic,Rare (9.68%)
528,Meso N11 Relic,Rare (9.68%)
529,Athodai Blueprint,Rare (6.45%)
530,Athodai Barrel,Rare (6.45%)
531,Athodai Receiver,Rare (6.45%)
532,,
533,Venus/Falling Glory (Skirmish),Venus/Falling Glory (Skirmish)
534,Rotation A,Rotation A
535,100 Endo,Uncommon (26.67%)
536,Lavan Engines Mk I,Uncommon (20.00%)
537,Lavan Reactor Mk I,Uncommon (20.00%)
538,Ash Systems Blueprint,Uncommon (13.33%)
539,Lith G6 Relic,Rare (6.67%)
540,Lith H8 Relic,Rare (6.67%)
541,Lith S15 Relic,Rare (6.67%)
542,Rotation B,Rotation B
543,100 Endo,Common (35.29%)
544,Lavan Shield Array Mk I,Uncommon (17.65%)
545,Vidar Engines Mk I,Uncommon (17.65%)
546,Lavan Plating Mk I,Uncommon (17.65%)
547,Lith S14 Relic,Rare (5.88%)
548,Lith B11 Relic,Rare (5.88%)
549,Rotation C,Rotation C
550,150 Endo,Common (42.11%)
551,Vidar Reactor Mk I,Uncommon (15.79%)
552,Vidar Shield Array Mk I,Uncommon (15.79%)
553,Vidar Plating Mk I,Uncommon (15.79%)
554,Lith K10 Relic,Rare (5.26%)
555,Lith R3 Relic,Rare (5.26%)
556,,
557,Venus/Falling Glory (Skirmish) Extra,Venus/Falling Glory (Skirmish) Extra
558,200X Cubic Diodes,Uncommon (28.57%)
559,200X Titanium,Uncommon (28.57%)
560,5X Isos,Uncommon (14.29%)
561,5X Asterite,Uncommon (14.29%)
562,Aucrux Capacitors,Rare (7.14%)
563,Nullstones,Rare (7.14%)
564,,
565,Venus/Falling Glory (Caches),Venus/Falling Glory (Caches)
566,Rotation A,Rotation A
567,100 Endo,Uncommon (26.09%)
568,150 Endo,Uncommon (17.39%)
569,Tether,Rare (8.70%)
570,Particle Ram,Rare (8.70%)
571,Shatter Burst,Rare (8.70%)
572,Lith G6 Relic,Rare (4.35%)
573,Lith H8 Relic,Rare (4.35%)
574,Lith S15 Relic,Rare (4.35%)
575,Lith S14 Relic,Rare (4.35%)
576,Lith B11 Relic,Rare (4.35%)
577,Lith K10 Relic,Rare (4.35%)
578,Lith R3 Relic,Rare (4.35%)
579,Rotation B,Rotation B
580,100 Endo,Uncommon (19.35%)
581,150 Endo,Uncommon (12.90%)
582,Internal Bleeding,Rare (9.68%)
583,Hemorrhage,Rare (9.68%)
584,Votive Onslaught,Rare (9.68%)
585,Lith C7 Relic,Rare (9.68%)
586,Meso N11 Relic,Rare (9.68%)
587,Athodai Blueprint,Rare (6.45%)
588,Athodai Barrel,Rare (6.45%)
589,Athodai Receiver,Rare (6.45%)
590,,
591,Venus/V Prime (Survival),Venus/V Prime (Survival)
592,Rotation A,Rotation A
593,"2,000 Credits Cache",Common (50.00%)
594,100 Endo,Common (50.00%)
595,Rotation B,Rotation B
596,Parry,Rare (7.69%)
597,Steel Fiber,Rare (7.69%)
598,Serration,Rare (7.69%)
599,Incendiary Coat,Rare (7.69%)
600,Hornet Strike,Rare (7.69%)
601,Intensify,Rare (7.69%)
602,Lith G6 Relic,Rare (7.69%)
603,Lith H8 Relic,Rare (7.69%)
604,Lith S15 Relic,Rare (7.69%)
605,Lith S14 Relic,Rare (7.69%)
606,Lith B11 Relic,Rare (7.69%)
607,Lith K10 Relic,Rare (7.69%)
608,Lith R3 Relic,Rare (7.69%)
609,Rotation C,Rotation C
610,Arrow Mutation,Rare (3.76%)
611,Rifle Ammo Mutation,Rare (3.76%)
612,Sniper Ammo Mutation,Rare (3.76%)
613,Shotgun Ammo Mutation,Rare (3.76%)
614,Pistol Ammo Mutation,Rare (3.76%)
615,Cleanse Grineer,Rare (3.76%)
616,Lith G6 Relic,Uncommon (11.06%)
617,Lith H8 Relic,Uncommon (11.06%)
618,Lith S15 Relic,Uncommon (11.06%)
619,Lith S14 Relic,Uncommon (11.06%)
620,Lith B11 Relic,Uncommon (11.06%)
621,Lith K10 Relic,Uncommon (11.06%)
622,Lith R3 Relic,Uncommon (11.06%)
623,,
624,Venus/Ishtar (Caches),Venus/Ishtar (Caches)
625,Rotation A,Rotation A
626,"2,500 Credits Cache",Very Common (100.00%)
627,Rotation B,Rotation B
628,400 Endo,Uncommon (12.65%)
629,400 Endo,Uncommon (12.65%)
630,400 Endo,Uncommon (12.65%)
631,400 Endo,Uncommon (22.11%)
632,400 Endo,Ultra Rare (1.01%)
633,400 Endo,Ultra Rare (1.01%)
634,240X Polymer Bundle,Uncommon (12.65%)
635,750X Circuits,Uncommon (12.65%)
636,750X Alloy Plate,Uncommon (12.65%)
637,Rotation C,Rotation C
638,80 Endo,Uncommon (15.10%)
639,150 Endo,Uncommon (15.10%)
640,Morphics,Uncommon (15.10%)
641,Gallium,Uncommon (15.10%)
642,Neurodes,Uncommon (15.10%)
643,2X Morphics,Rare (5.50%)
644,2X Gallium,Rare (5.50%)
645,2X Neurodes,Rare (5.50%)
646,160 Endo,Rare (5.50%)
647,Argon Crystal,Legendary (0.67%)
648,Tellurium,Legendary (0.67%)
649,Nitain Extract,Legendary (0.67%)
650,Xiphos Fuselage Blueprint,Legendary (0.50%)
651,,
652,Event: Venus/Vesper (Spy),Event: Venus/Vesper (Spy)
653,Rotation A,Rotation A
654,"1,500 Credits Cache",Uncommon (14.29%)
655,"1,500 Credits Cache",Uncommon (14.29%)
656,100 Endo,Uncommon (14.29%)
657,100 Endo,Uncommon (14.29%)
658,Reflection,Uncommon (14.29%)
659,Reflex Guard,Uncommon (14.29%)
660,Parry,Uncommon (14.29%)
