,Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
101,Kogake Prime Boot,Uncommon (25.33%)
102,,
103,Axi A12 Relic (Exceptional),Axi A12 Relic (Exceptional)
104,Akbolto Prime Receiver,Rare (4.00%)
105,Helios Prime Systems,Uncommon (13.00%)
106,Banshee Prime Blueprint,Uncommon (13.00%)
107,Forma Blueprint,Uncommon (23.33%)
108,Mirage Prime Chassis Blueprint,Uncommon (23.33%)
109,Kogake Prime Boot,Uncommon (23.33%)
110,,
111,Axi A12 Relic (Flawless),Axi A12 Relic (Flawless)
112,Akbolto Prime Receiver,Rare (6.00%)
113,Helios Prime Systems,Uncommon (17.00%)
114,Banshee Prime Blueprint,Uncommon (17.00%)
115,Forma Blueprint,Uncommon (20.00%)
116,Mirage Prime Chassis Blueprint,Uncommon (20.00%)
117,Kogake Prime Boot,Uncommon (20.00%)
118,,
119,Axi A12 Relic (Radiant),Axi A12 Relic (Radiant)
120,Akbolto Prime Receiver,Uncommon (10.00%)
121,Helios Prime Systems,Uncommon (20.00%)
122,Banshee Prime Blueprint,Uncommon (20.00%)
123,Forma Blueprint,Uncommon (16.67%)
124,Mirage Prime Chassis Blueprint,Uncommon (16.67%)
125,Kogake Prime Boot,Uncommon (16.67%)
126,,
127,Axi A13 Relic (Intact),Axi A13 Relic (Intact)
128,Aksomati Prime Link,Rare (2.00%)
129,Orthos Prime Blueprint,Uncommon (11.00%)
130,Pangolin Prime Blade,Uncommon (11.00%)
131,Forma Blueprint,Uncommon (25.33%)
132,Burston Prime Receiver,Uncommon (25.33%)
133,Inaros Prime Systems Blueprint,Uncommon (25.33%)
134,,
135,Axi A13 Relic (Exceptional),Axi A13 Relic (Exceptional)
136,Aksomati Prime Link,Rare (4.00%)
137,Orthos Prime Blueprint,Uncommon (13.00%)
138,Pangolin Prime Blade,Uncommon (13.00%)
139,Forma Blueprint,Uncommon (23.33%)
140,Burston Prime Receiver,Uncommon (23.33%)
141,Inaros Prime Systems Blueprint,Uncommon (23.33%)
142,,
143,Axi A13 Relic (Flawless),Axi A13 Relic (Flawless)
144,Aksomati Prime Link,Rare (6.00%)
145,Orthos Prime Blueprint,Uncommon (17.00%)
146,Pangolin Prime Blade,Uncommon (17.00%)
147,Forma Blueprint,Uncommon (20.00%)
148,Burston Prime Receiver,Uncommon (20.00%)
149,Inaros Prime Systems Blueprint,Uncommon (20.00%)
150,,
151,Axi A13 Relic (Radiant),Axi A13 Relic (Radiant)
152,Aksomati Prime Link,Uncommon (10.00%)
153,Orthos Prime Blueprint,Uncommon (20.00%)
154,Pangolin Prime Blade,Uncommon (20.00%)
155,Forma Blueprint,Uncommon (16.67%)
156,Burston Prime Receiver,Uncommon (16.67%)
157,Inaros Prime Systems Blueprint,Uncommon (16.67%)
158,,
159,Axi A14 Relic (Intact),Axi A14 Relic (Intact)
160,Aksomati Prime Link,Rare (2.00%)
161,Karyst Prime Handle,Uncommon (11.00%)
162,Nidus Prime Blueprint,Uncommon (11.00%)
163,Zakti Prime Receiver,Uncommon (25.33%)
164,Paris Prime Blueprint,Uncommon (25.33%)
165,Volnus Prime Blueprint,Uncommon (25.33%)
166,,
167,Axi A14 Relic (Exceptional),Axi A14 Relic (Exceptional)
168,Aksomati Prime Link,Rare (4.00%)
169,Karyst Prime Handle,Uncommon (13.00%)
170,Nidus Prime Blueprint,Uncommon (13.00%)
171,Zakti Prime Receiver,Uncommon (23.33%)
172,Paris Prime Blueprint,Uncommon (23.33%)
173,Volnus Prime Blueprint,Uncommon (23.33%)
174,,
175,Axi A14 Relic (Flawless),Axi A14 Relic (Flawless)
176,Aksomati Prime Link,Rare (6.00%)
177,Karyst Prime Handle,Uncommon (17.00%)
178,Nidus Prime Blueprint,Uncommon (17.00%)
179,Zakti Prime Receiver,Uncommon (20.00%)
180,Paris Prime Blueprint,Uncommon (20.00%)
181,Volnus Prime Blueprint,Uncommon (20.00%)
182,,
183,Axi A14 Relic (Radiant),Axi A14 Relic (Radiant)
184,Aksomati Prime Link,Uncommon (10.00%)
185,Karyst Prime Handle,Uncommon (20.00%)
186,Nidus Prime Blueprint,Uncommon (20.00%)
187,Zakti Prime Receiver,Uncommon (16.67%)
188,Paris Prime Blueprint,Uncommon (16.67%)
189,Volnus Prime Blueprint,Uncommon (16.67%)
190,,
191,Axi A15 Relic (Intact),Axi A15 Relic (Intact)
192,Aksomati Prime Link,Rare (2.00%)
193,Oberon Prime Systems Blueprint,Uncommon (11.00%)
194,Ivara Prime Systems Blueprint,Uncommon (11.00%)
195,Baza Prime Receiver,Uncommon (25.33%)
196,Forma Blueprint,Uncommon (25.33%)
197,Sybaris Prime Stock,Uncommon (25.33%)
198,,
199,Axi A15 Relic (Exceptional),Axi A15 Relic (Exceptional)
200,Aksomati Prime Link,Rare (4.00%)
201,Oberon Prime Systems Blueprint,Uncommon (13.00%)
202,Ivara Prime Systems Blueprint,Uncommon (13.00%)
203,Baza Prime Receiver,Uncommon (23.33%)
204,Forma Blueprint,Uncommon (23.33%)
205,Sybaris Prime Stock,Uncommon (23.33%)
206,,
207,Axi A15 Relic (Flawless),Axi A15 Relic (Flawless)
208,Aksomati Prime Link,Rare (6.00%)
209,Oberon Prime Systems Blueprint,Uncommon (17.00%)
210,Ivara Prime Systems Blueprint,Uncommon (17.00%)
211,Baza Prime Receiver,Uncommon (20.00%)
212,Forma Blueprint,Uncommon (20.00%)
213,Sybaris Prime Stock,Uncommon (20.00%)
214,,
215,Axi A15 Relic (Radiant),Axi A15 Relic (Radiant)
216,Aksomati Prime Link,Uncommon (10.00%)
217,Oberon Prime Systems Blueprint,Uncommon (20.00%)
218,Ivara Prime Systems Blueprint,Uncommon (20.00%)
219,Baza Prime Receiver,Uncommon (16.67%)
220,Forma Blueprint,Uncommon (16.67%)
221,Sybaris Prime Stock,Uncommon (16.67%)
222,,
223,Axi A16 Relic (Intact),Axi A16 Relic (Intact)
224,Afuris Prime Receiver,Rare (2.00%)
225,Revenant Prime Systems Blueprint,Uncommon (11.00%)
226,Harrow Prime Neuroptics Blueprint,Uncommon (11.00%)
227,Scourge Prime Blade,Uncommon (25.33%)
228,Braton Prime Blueprint,Uncommon (25.33%)
229,Fang Prime Handle,Uncommon (25.33%)
230,,
231,Axi A16 Relic (Exceptional),Axi A16 Relic (Exceptional)
232,Afuris Prime Receiver,Rare (4.00%)
233,Revenant Prime Systems Blueprint,Uncommon (13.00%)
234,Harrow Prime Neuroptics Blueprint,Uncommon (13.00%)
235,Scourge Prime Blade,Uncommon (23.33%)
236,Braton Prime Blueprint,Uncommon (23.33%)
237,Fang Prime Handle,Uncommon (23.33%)
238,,
239,Axi A16 Relic (Flawless),Axi A16 Relic (Flawless)
240,Afuris Prime Receiver,Rare (6.00%)
241,Revenant Prime Systems Blueprint,Uncommon (17.00%)
242,Harrow Prime Neuroptics Blueprint,Uncommon (17.00%)
243,Scourge Prime Blade,Uncommon (20.00%)
244,Braton Prime Blueprint,Uncommon (20.00%)
245,Fang Prime Handle,Uncommon (20.00%)
246,,
247,Axi A16 Relic (Radiant),Axi A16 Relic (Radiant)
248,Afuris Prime Receiver,Uncommon (10.00%)
249,Revenant Prime Systems Blueprint,Uncommon (20.00%)
250,Harrow Prime Neuroptics Blueprint,Uncommon (20.00%)
251,Scourge Prime Blade,Uncommon (16.67%)
252,Braton Prime Blueprint,Uncommon (16.67%)
253,Fang Prime Handle,Uncommon (16.67%)
254,,
255,Axi A2 Relic (Intact),Axi A2 Relic (Intact)
256,Aklex Prime Link,Rare (2.00%)
257,Aklex Prime Blueprint,Uncommon (11.00%)
258,Lex Prime Blueprint,Uncommon (11.00%)
259,Lex Prime Receiver,Uncommon (25.33%)
260,Forma Blueprint,Uncommon (25.33%)
261,Lex Prime Barrel,Uncommon (25.33%)
262,,
263,Axi A2 Relic (Exceptional),Axi A2 Relic (Exceptional)
264,Aklex Prime Link,Rare (4.00%)
265,Aklex Prime Blueprint,Uncommon (13.00%)
266,Lex Prime Blueprint,Uncommon (13.00%)
267,Lex Prime Receiver,Uncommon (23.33%)
268,Forma Blueprint,Uncommon (23.33%)
269,Lex Prime Barrel,Uncommon (23.33%)
270,,
271,Axi A2 Relic (Flawless),Axi A2 Relic (Flawless)
272,Aklex Prime Link,Rare (6.00%)
273,Aklex Prime Blueprint,Uncommon (17.00%)
274,Lex Prime Blueprint,Uncommon (17.00%)
275,Lex Prime Receiver,Uncommon (20.00%)
276,Forma Blueprint,Uncommon (20.00%)
277,Lex Prime Barrel,Uncommon (20.00%)
278,,
279,Axi A2 Relic (Radiant),Axi A2 Relic (Radiant)
280,Aklex Prime Link,Uncommon (10.00%)
281,Aklex Prime Blueprint,Uncommon (20.00%)
282,Lex Prime Blueprint,Uncommon (20.00%)
283,Lex Prime Receiver,Uncommon (16.67%)
284,Forma Blueprint,Uncommon (16.67%)
285,Lex Prime Barrel,Uncommon (16.67%)
286,,
287,Axi A3 Relic (Intact),Axi A3 Relic (Intact)
288,Akbolto Prime Receiver,Rare (2.00%)
289,Hydroid Prime Neuroptics Blueprint,Uncommon (11.00%)
290,Cernos Prime String,Uncommon (11.00%)
291,Braton Prime Barrel,Uncommon (25.33%)
292,Helios Prime Carapace,Uncommon (25.33%)
293,Kogake Prime Boot,Uncommon (25.33%)
294,,
295,Axi A3 Relic (Exceptional),Axi A3 Relic (Exceptional)
296,Akbolto Prime Receiver,Rare (4.00%)
297,Hydroid Prime Neuroptics Blueprint,Uncommon (13.00%)
298,Cernos Prime String,Uncommon (13.00%)
299,Braton Prime Barrel,Uncommon (23.33%)
300,Helios Prime Carapace,Uncommon (23.33%)
301,Kogake Prime Boot,Uncommon (23.33%)
302,,
303,Axi A3 Relic (Flawless),Axi A3 Relic (Flawless)
304,Akbolto Prime Receiver,Rare (6.00%)
305,Hydroid Prime Neuroptics Blueprint,Uncommon (17.00%)
306,Cernos Prime String,Uncommon (17.00%)
307,Braton Prime Barrel,Uncommon (20.00%)
308,Helios Prime Carapace,Uncommon (20.00%)
309,Kogake Prime Boot,Uncommon (20.00%)
310,,
311,Axi A3 Relic (Radiant),Axi A3 Relic (Radiant)
312,Akbolto Prime Receiver,Uncommon (10.00%)
313,Hydroid Prime Neuroptics Blueprint,Uncommon (20.00%)
314,Cernos Prime String,Uncommon (20.00%)
315,Braton Prime Barrel,Uncommon (16.67%)
316,Helios Prime Carapace,Uncommon (16.67%)
317,Kogake Prime Boot,Uncommon (16.67%)
318,,
319,Axi A4 Relic (Intact),Axi A4 Relic (Intact)
320,Akbolto Prime Receiver,Rare (2.00%)
321,Fang Prime Handle,Uncommon (11.00%)
322,Ballistica Prime String,Uncommon (11.00%)
323,Braton Prime Stock,Uncommon (25.33%)
324,Forma Blueprint,Uncommon (25.33%)
325,Zephyr Prime Neuroptics Blueprint,Uncommon (25.33%)
326,,
327,Axi A4 Relic (Exceptional),Axi A4 Relic (Exceptional)
328,Akbolto Prime Receiver,Rare (4.00%)
329,Fang Prime Handle,Uncommon (13.00%)
330,Ballistica Prime String,Uncommon (13.00%)
331,Braton Prime Stock,Uncommon (23.33%)
332,Forma Blueprint,Uncommon (23.33%)
333,Zephyr Prime Neuroptics Blueprint,Uncommon (23.33%)
334,,
335,Axi A4 Relic (Flawless),Axi A4 Relic (Flawless)
336,Akbolto Prime Receiver,Rare (6.00%)
337,Fang Prime Handle,Uncommon (17.00%)
338,Ballistica Prime String,Uncommon (17.00%)
339,Braton Prime Stock,Uncommon (20.00%)
340,Forma Blueprint,Uncommon (20.00%)
341,Zephyr Prime Neuroptics Blueprint,Uncommon (20.00%)
342,,
343,Axi A4 Relic (Radiant),Axi A4 Relic (Radiant)
344,Akbolto Prime Receiver,Uncommon (10.00%)
345,Fang Prime Handle,Uncommon (20.00%)
346,Ballistica Prime String,Uncommon (20.00%)
347,Braton Prime Stock,Uncommon (16.67%)
348,Forma Blueprint,Uncommon (16.67%)
349,Zephyr Prime Neuroptics Blueprint,Uncommon (16.67%)
350,,
351,Axi A5 Relic (Intact),Axi A5 Relic (Intact)
352,Akvasto Prime Blueprint,Rare (2.00%)
353,Vasto Prime Blueprint,Uncommon (11.00%)
354,Akvasto Prime Link,Uncommon (11.00%)
355,Vasto Prime Barrel,Uncommon (25.33%)
356,Vasto Prime Receiver,Uncommon (25.33%)
357,Forma Blueprint,Uncommon (25.33%)
358,,
359,Axi A5 Relic (Exceptional),Axi A5 Relic (Exceptional)
360,Akvasto Prime Blueprint,Rare (4.00%)
361,Vasto Prime Blueprint,Uncommon (13.00%)
362,Akvasto Prime Link,Uncommon (13.00%)
363,Vasto Prime Barrel,Uncommon (23.33%)
364,Vasto Prime Receiver,Uncommon (23.33%)
365,Forma Blueprint,Uncommon (23.33%)
366,,
367,Axi A5 Relic (Flawless),Axi A5 Relic (Flawless)
368,Akvasto Prime Blueprint,Rare (6.00%)
369,Vasto Prime Blueprint,Uncommon (17.00%)
370,Akvasto Prime Link,Uncommon (17.00%)
371,Vasto Prime Barrel,Uncommon (20.00%)
372,Vasto Prime Receiver,Uncommon (20.00%)
373,Forma Blueprint,Uncommon (20.00%)
374,,
375,Axi A5 Relic (Radiant),Axi A5 Relic (Radiant)
376,Akvasto Prime Blueprint,Uncommon (10.00%)
377,Vasto Prime Blueprint,Uncommon (20.00%)
378,Akvasto Prime Link,Uncommon (20.00%)
379,Vasto Prime Barrel,Uncommon (16.67%)
380,Vasto Prime Receiver,Uncommon (16.67%)
381,Forma Blueprint,Uncommon (16.67%)
382,,
383,Axi A6 Relic (Intact),Axi A6 Relic (Intact)
384,Atlas Prime Neuroptics Blueprint,Rare (2.00%)
385,Zhuge Prime Blueprint,Uncommon (11.00%)
386,Tipedo Prime Ornament,Uncommon (11.00%)
387,Orthos Prime Handle,Uncommon (25.33%)
388,Braton Prime Stock,Uncommon (25.33%)
389,Chroma Prime Blueprint,Uncommon (25.33%)
390,,
391,Axi A6 Relic (Exceptional),Axi A6 Relic (Exceptional)
392,Atlas Prime Neuroptics Blueprint,Rare (4.00%)
393,Zhuge Prime Blueprint,Uncommon (13.00%)
394,Tipedo Prime Ornament,Uncommon (13.00%)
395,Orthos Prime Handle,Uncommon (23.33%)
396,Braton Prime Stock,Uncommon (23.33%)
397,Chroma Prime Blueprint,Uncommon (23.33%)
398,,
399,Axi A6 Relic (Flawless),Axi A6 Relic (Flawless)
400,Atlas Prime Neuroptics Blueprint,Rare (6.00%)
401,Zhuge Prime Blueprint,Uncommon (17.00%)
402,Tipedo Prime Ornament,Uncommon (17.00%)
403,Orthos Prime Handle,Uncommon (20.00%)
404,Braton Prime Stock,Uncommon (20.00%)
405,Chroma Prime Blueprint,Uncommon (20.00%)
406,,
407,Axi A6 Relic (Radiant),Axi A6 Relic (Radiant)
408,Atlas Prime Neuroptics Blueprint,Uncommon (10.00%)
409,Zhuge Prime Blueprint,Uncommon (20.00%)
410,Tipedo Prime Ornament,Uncommon (20.00%)
411,Orthos Prime Handle,Uncommon (16.67%)
412,Braton Prime Stock,Uncommon (16.67%)
413,Chroma Prime Blueprint,Uncommon (16.67%)
414,,
415,Axi A7 Relic (Intact),Axi A7 Relic (Intact)
416,Ash Prime Systems Blueprint,Rare (2.00%)
417,Fragor Prime Blueprint,Uncommon (11.00%)
418,Forma Blueprint,Uncommon (11.00%)
419,Carrier Prime Systems,Uncommon (25.33%)
420,Braton Prime Blueprint,Uncommon (25.33%)
421,Akstiletto Prime Receiver,Uncommon (25.33%)
422,,
423,Axi A7 Relic (Exceptional),Axi A7 Relic (Exceptional)
424,Ash Prime Systems Blueprint,Rare (4.00%)
425,Fragor Prime Blueprint,Uncommon (13.00%)
426,Forma Blueprint,Uncommon (13.00%)
427,Carrier Prime Systems,Uncommon (23.33%)
428,Braton Prime Blueprint,Uncommon (23.33%)
429,Akstiletto Prime Receiver,Uncommon (23.33%)
430,,
431,Axi A7 Relic (Flawless),Axi A7 Relic (Flawless)
432,Ash Prime Systems Blueprint,Rare (6.00%)
433,Fragor Prime Blueprint,Uncommon (17.00%)
434,Forma Blueprint,Uncommon (17.00%)
435,Carrier Prime Systems,Uncommon (20.00%)
436,Braton Prime Blueprint,Uncommon (20.00%)
437,Akstiletto Prime Receiver,Uncommon (20.00%)
438,,
439,Axi A7 Relic (Radiant),Axi A7 Relic (Radiant)
440,Ash Prime Systems Blueprint,Uncommon (10.00%)
441,Fragor Prime Blueprint,Uncommon (20.00%)
442,Forma Blueprint,Uncommon (20.00%)
443,Carrier Prime Systems,Uncommon (16.67%)
444,Braton Prime Blueprint,Uncommon (16.67%)
445,Akstiletto Prime Receiver,Uncommon (16.67%)
446,,
447,Axi A8 Relic (Intact),Axi A8 Relic (Intact)
448,Aksomati Prime Link,Rare (2.00%)
449,Gram Prime Blueprint,Uncommon (11.00%)
450,Forma Blueprint,Uncommon (11.00%)
451,Pyrana Prime Barrel,Uncommon (25.33%)
452,Braton Prime Stock,Uncommon (25.33%)
453,Equinox Prime Chassis Blueprint,Uncommon (25.33%)
454,,
455,Axi A8 Relic (Exceptional),Axi A8 Relic (Exceptional)
456,Aksomati Prime Link,Rare (4.00%)
457,Gram Prime Blueprint,Uncommon (13.00%)
458,Forma Blueprint,Uncommon (13.00%)
459,Pyrana Prime Barrel,Uncommon (23.33%)
460,Braton Prime Stock,Uncommon (23.33%)
461,Equinox Prime Chassis Blueprint,Uncommon (23.33%)
462,,
463,Axi A8 Relic (Flawless),Axi A8 Relic (Flawless)
464,Aksomati Prime Link,Rare (6.00%)
465,Gram Prime Blueprint,Uncommon (17.00%)
466,Forma Blueprint,Uncommon (17.00%)
467,Pyrana Prime Barrel,Uncommon (20.00%)
468,Braton Prime Stock,Uncommon (20.00%)
469,Equinox Prime Chassis Blueprint,Uncommon (20.00%)
470,,
471,Axi A8 Relic (Radiant),Axi A8 Relic (Radiant)
472,Aksomati Prime Link,Uncommon (10.00%)
473,Gram Prime Blueprint,Uncommon (20.00%)
474,Forma Blueprint,Uncommon (20.00%)
475,Pyrana Prime Barrel,Uncommon (16.67%)
476,Braton Prime Stock,Uncommon (16.67%)
477,Equinox Prime Chassis Blueprint,Uncommon (16.67%)
478,,
479,Axi A9 Relic (Intact),Axi A9 Relic (Intact)
480,Atlas Prime Neuroptics Blueprint,Rare (2.00%)
481,Ivara Prime Systems Blueprint,Uncommon (11.00%)
482,Akbronco Prime Link,Uncommon (11.00%)
483,Lex Prime Blueprint,Uncommon (25.33%)
484,Rubico Prime Stock,Uncommon (25.33%)
485,Gram Prime Blade,Uncommon (25.33%)
486,,
487,Axi A9 Relic (Exceptional),Axi A9 Relic (Exceptional)
488,Atlas Prime Neuroptics Blueprint,Rare (4.00%)
489,Ivara Prime Systems Blueprint,Uncommon (13.00%)
490,Akbronco Prime Link,Uncommon (13.00%)
491,Lex Prime Blueprint,Uncommon (23.33%)
492,Rubico Prime Stock,Uncommon (23.33%)
493,Gram Prime Blade,Uncommon (23.33%)
494,,
495,Axi A9 Relic (Flawless),Axi A9 Relic (Flawless)
496,Atlas Prime Neuroptics Blueprint,Rare (6.00%)
497,Ivara Prime Systems Blueprint,Uncommon (17.00%)
498,Akbronco Prime Link,Uncommon (17.00%)
499,Lex Prime Blueprint,Uncommon (20.00%)
500,Rubico Prime Stock,Uncommon (20.00%)
501,Gram Prime Blade,Uncommon (20.00%)
502,,
503,Axi A9 Relic (Radiant),Axi A9 Relic (Radiant)
504,Atlas Prime Neuroptics Blueprint,Uncommon (10.00%)
505,Ivara Prime Systems Blueprint,Uncommon (20.00%)
506,Akbronco Prime Link,Uncommon (20.00%)
507,Lex Prime Blueprint,Uncommon (16.67%)
508,Rubico Prime Stock,Uncommon (16.67%)
509,Gram Prime Blade,Uncommon (16.67%)
510,,
511,Axi B1 Relic (Intact),Axi B1 Relic (Intact)
512,Banshee Prime Systems Blueprint,Rare (2.00%)
513,Cernos Prime Blueprint,Uncommon (11.00%)
514,Kavasa Prime Buckle,Uncommon (11.00%)
515,Euphona Prime Blueprint,Uncommon (25.33%)
516,Ash Prime Chassis Blueprint,Uncommon (25.33%)
517,Fang Prime Blade,Uncommon (25.33%)
518,,
519,Axi B1 Relic (Exceptional),Axi B1 Relic (Exceptional)
520,Banshee Prime Systems Blueprint,Rare (4.00%)
521,Cernos Prime Blueprint,Uncommon (13.00%)
522,Kavasa Prime Buckle,Uncommon (13.00%)
523,Euphona Prime Blueprint,Uncommon (23.33%)
524,Ash Prime Chassis Blueprint,Uncommon (23.33%)
525,Fang Prime Blade,Uncommon (23.33%)
526,,
527,Axi B1 Relic (Flawless),Axi B1 Relic (Flawless)
528,Banshee Prime Systems Blueprint,Rare (6.00%)
529,Cernos Prime Blueprint,Uncommon (17.00%)
530,Kavasa Prime Buckle,Uncommon (17.00%)
531,Euphona Prime Blueprint,Uncommon (20.00%)
532,Ash Prime Chassis Blueprint,Uncommon (20.00%)
533,Fang Prime Blade,Uncommon (20.00%)
534,,
535,Axi B1 Relic (Radiant),Axi B1 Relic (Radiant)
536,Banshee Prime Systems Blueprint,Uncommon (10.00%)
537,Cernos Prime Blueprint,Uncommon (20.00%)
538,Kavasa Prime Buckle,Uncommon (20.00%)
539,Euphona Prime Blueprint,Uncommon (16.67%)
540,Ash Prime Chassis Blueprint,Uncommon (16.67%)
541,Fang Prime Blade,Uncommon (16.67%)
542,,
543,Axi B2 Relic (Intact),Axi B2 Relic (Intact)
544,Banshee Prime Systems Blueprint,Rare (2.00%)
545,Forma Blueprint,Uncommon (11.00%)
546,Orthos Prime Blueprint,Uncommon (11.00%)
547,Fragor Prime Head,Uncommon (25.33%)
548,Sybaris Prime Blueprint,Uncommon (25.33%)
549,Fang Prime Blade,Uncommon (25.33%)
550,,
551,Axi B2 Relic (Exceptional),Axi B2 Relic (Exceptional)
552,Banshee Prime Systems Blueprint,Rare (4.00%)
553,Forma Blueprint,Uncommon (13.00%)
554,Orthos Prime Blueprint,Uncommon (13.00%)
555,Fragor Prime Head,Uncommon (23.33%)
556,Sybaris Prime Blueprint,Uncommon (23.33%)
557,Fang Prime Blade,Uncommon (23.33%)
558,,
559,Axi B2 Relic (Flawless),Axi B2 Relic (Flawless)
560,Banshee Prime Systems Blueprint,Rare (6.00%)
561,Forma Blueprint,Uncommon (17.00%)
562,Orthos Prime Blueprint,Uncommon (17.00%)
563,Fragor Prime Head,Uncommon (20.00%)
564,Sybaris Prime Blueprint,Uncommon (20.00%)
565,Fang Prime Blade,Uncommon (20.00%)
566,,
567,Axi B2 Relic (Radiant),Axi B2 Relic (Radiant)
568,Banshee Prime Systems Blueprint,Uncommon (10.00%)
569,Forma Blueprint,Uncommon (20.00%)
570,Orthos Prime Blueprint,Uncommon (20.00%)
571,Fragor Prime Head,Uncommon (16.67%)
572,Sybaris Prime Blueprint,Uncommon (16.67%)
